,OysterID,SampleEventID,ShellHeight,ShellLength,ShellWidth,TotalWeight,TarePanWeight,TissueWetWeight,ShellWetWeight,TissueDryWeight,ShellDryWeight,OldSampleNumber,Comments
19,TBMC1707-05,TBCOLL_20170718_1_0291_1,53.6,32.4,14.5,20.71,0.96,4.27,14.66,1.3,12.58,TB-M-2455,"Polydora Internal Top 2,Polydora Internal Bottom 2,Cliona Bottom Present,Polydora Esternal Top 18,Polydora Exal Bottom 4"
20,TBLC1708-01,TBCOLL_20170815_1_0278_1,45.5,33.7,18.5,19.12,0.96,4.62,12.96,1.25,11.85,TB-L-2456,",Polydora Esternal Top 1"
21,TBLC1708-02,TBCOLL_20170815_1_0278_1,54.7,30.2,18.2,24.71,0.97,5.87,16.29,1.54,15.42,TB-L-2457,",Polydora Esternal Top 1"
22,TBLC1708-03,TBCOLL_20170815_1_0278_1,51.9,35.5,16.5,22.05,0.96,4.92,14.47,1.33,12.66,TB-L-2458,",Cliona Bottom Present"
23,TBLC1708-04,TBCOLL_20170815_1_0278_1,52.6,35.3,13.7,12.94,0.96,2.12,8.89,1.13,7.93,TB-L-2459,",Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 5,Polydora Exal Bottom 2"
24,TBLC1708-05,TBCOLL_20170815_1_0278_1,47.6,35.7,15,22.34,0.96,4.19,15.59,1.32,13.25,TB-L-2460,",Cliona Bottom Present,Polydora Esternal Top 12,Polydora Exal Bottom 4"
25,TBLC1708-06,TBCOLL_20170815_1_0280_1,55.5,39.1,26.7,32.32,0.97,9.01,20.58,1.89,19.15,TB-L-2461,
26,TBLC1708-07,TBCOLL_20170815_1_0280_1,54.9,38.3,14.8,20.19,0.97,5.56,13.48,1.49,12.77,TB-L-2462,
27,TBLC1708-08,TBCOLL_20170815_1_0280_1,51,38.8,18.2,22.24,0.96,6.46,14.68,1.51,13.41,TB-L-2463,
28,TBLC1708-09,TBCOLL_20170815_1_0280_1,52.2,33,15,18.5,0.97,4.45,15.09,1.59,13.95,TB-L-2464,",Polydora Internal Bottom 1"
29,TBLC1708-10,TBCOLL_20170815_1_0280_1,55.2,33,17.5,27.58,0.97,6.2,19.06,1.47,18.02,TB-L-2465,",Cliona Bottom Present"
30,TBLC1708-11,TBCOLL_20170815_1_0282_1,45.2,39.5,14.6,20.47,0.95,4.84,15.01,1.5,12.92,TB-L-2466,"Polydora Internal Top 1,Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 8,Polydora Exal Bottom 7"
31,TBLC1708-12,TBCOLL_20170815_1_0282_1,47.3,35.2,16.1,20.18,0.96,3.88,15.27,1.3,13.13,TB-L-2467,"Polydora Internal Top 3,Polydora Internal Bottom 5,Cliona Bottom Present,Polydora Esternal Top 7,Polydora Exal Bottom 4"
32,TBLC1708-13,TBCOLL_20170815_1_0282_1,56,33.5,27.7,32.69,0.95,7.57,24.05,1.49,20.89,TB-L-2468,"Polydora Internal Top 2,Polydora Internal Bottom 2,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 5,Polydora Exal Bottom 3"
33,TBLC1708-14,TBCOLL_20170815_1_0282_1,50.4,29.4,17.9,23.19,0.96,5.22,17.31,1.54,14.99,TB-L-2469,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 8,Polydora Exal Bottom 9"
34,TBLC1708-15,TBCOLL_20170815_1_0282_1,47.1,34.5,14.2,18.06,0.97,4.33,12.81,1.31,11.84,TB-L-2470,"Polydora Internal Top 1,Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 3,Polydora Exal Bottom 4"
35,TBBC1708-01,TBCOLL_20170815_1_0277_1,55,35.8,17.3,28.65,0.96,5.65,19.48,1.31,18.11,TB-B-2471,
36,TBBC1708-02,TBCOLL_20170815_1_0277_1,46.8,35,17.3,18.59,0.95,4.17,13.96,1.25,12.44,TB-B-2472,",Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 3,Polydora Exal Bottom 2"
37,TBBC1708-03,TBCOLL_20170815_1_0277_1,48.5,34.4,18.5,21.69,0.96,5.38,14.63,1.38,12.35,TB-B-2473,",Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 2,Polydora Exal Bottom 1"
38,TBBC1708-04,TBCOLL_20170815_1_0277_1,50.5,39.3,12,15.23,0.95,3.74,10.72,1.26,10.18,TB-B-2474,",Polydora Esternal Top 1"
39,TBBC1708-05,TBCOLL_20170815_1_0277_1,42.4,30.8,10.5,9.09,0.97,2.37,6.46,1.17,6.02,TB-B-2475,
40,TBMC1708-01,TBCOLL_20170815_1_0291_1,62.1,36.2,15.4,24.79,0.94,5.62,18.04,1.23,16.49,TB-M-2476,"Polydora Internal Top 3,Polydora Internal Bottom 3,Polydora Esternal Top 12,Polydora Exal Bottom 9"
41,TBMC1708-02,TBCOLL_20170815_1_0291_1,46.3,32.5,12.1,14.67,0.96,3.45,10.47,1.18,9.72,TB-M-2477,"Polydora Internal Top 1,Polydora Internal Bottom 1,Polydora Esternal Top 2,Polydora Exal Bottom 3"
42,TBMC1708-03,TBCOLL_20170815_1_0291_1,54.2,37,16,20.1,0.96,5.3,14.45,1.39,13.14,TB-M-2478,",Polydora Internal Bottom 2,Polydora Esternal Top 4,Polydora Exal Bottom 2"
43,TBMC1708-04,TBCOLL_20170815_1_0291_1,53.3,36.5,12.1,22.37,0.96,5.81,15.73,1.45,14.35,TB-M-2479,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 11"
44,TBMC1708-05,TBCOLL_20170815_1_0291_1,47.5,29.5,14.2,13.56,0.95,3.02,9.89,1.24,8.53,TB-M-2480,"Polydora Internal Top 3,Polydora Internal Bottom 5,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 14,Polydora Exal Bottom 8"
45,TBLC1709-01,TBCOLL_20170906_1_0278_1,40.7,27.9,11,9.13,1.02,2.39,6.08,1.23,5.8,TB-L-2481,"Polydora Internal Top 2,Polydora Exal Bottom 1"
46,TBLC1709-02,TBCOLL_20170906_1_0278_1,47.3,34.8,19.1,20.51,1.05,4.43,14.83,1.45,13.9,TB-L-2482,",Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 12,Polydora Exal Bottom 8"
47,TBLC1709-03,TBCOLL_20170906_1_0278_1,47.4,28,16.1,13.29,1.03,3.06,8.99,1.24,8.36,TB-L-2483,",Cliona Bottom Present,Polydora Exal Bottom 2"
48,TBLC1709-04,TBCOLL_20170906_1_0278_1,34,24.2,15.7,8.45,1.02,2.62,5.24,1.26,5.05,TB-L-2484,
49,TBLC1709-05,TBCOLL_20170906_1_0278_1,36.4,29.9,18.7,13.14,1.01,3.66,8.44,1.27,7.85,TB-L-2485,
50,TBLC1709-06,TBCOLL_20170906_1_0280_1,67.8,32.4,31.7,39.36,1.03,8.49,27.63,2.04,26.34,TB-L-2486,",Polydora Internal Bottom 1,Polydora Esternal Top 1,Polydora Exal Bottom 1"
51,TBLC1709-07,TBCOLL_20170906_1_0280_1,49.9,33.6,23.1,28.91,1.01,6.71,19.89,1.74,18.21,TB-L-2487,",Cliona Bottom Present,Polydora Exal Bottom 4"
52,TBLC1709-08,TBCOLL_20170906_1_0280_1,56,31.8,19.2,28.34,1.03,4.9,21.54,1.54,20.52,TB-L-2488,
53,TBLC1709-09,TBCOLL_20170906_1_0280_1,49.4,34.9,18.7,18.38,1.01,3.69,12.56,1.53,11.68,TB-L-2489,",Cliona Bottom Present"
54,TBLC1709-10,TBCOLL_20170906_1_0280_1,36.1,34.7,16.1,9.54,1.02,3.4,6.42,1.35,6.19,TB-L-2490,
55,TBLC1709-11,TBCOLL_20170906_1_0282_1,54.9,36.5,26.2,33.76,1.01,6.01,24.74,1.52,22.89,TB-L-2491,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 9,Polydora Exal Bottom 5"
56,TBLC1709-12,TBCOLL_20170906_1_0282_1,41.4,39.1,21.3,32.18,1,5.44,23.74,1.51,20.7,TB-L-2492,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 2,Polydora Exal Bottom 1"
57,TBLC1709-13,TBCOLL_20170906_1_0282_1,41.7,33.8,17.5,17.17,1.01,4.17,12.38,1.35,11.23,TB-L-2493,"Polydora Internal Top 4,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 8"
58,TBLC1709-14,TBCOLL_20170906_1_0282_1,63.2,46.4,26.4,43.36,1.03,7.63,29.06,1.78,26.46,TB-L-2494,"Polydora Internal Top 1,Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 13,Polydora Exal Bottom 2"
59,TBLC1709-15,TBCOLL_20170906_1_0282_1,38.8,33.5,22.4,18.4,1.03,3.52,14.33,1.34,13.53,TB-L-2495,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 5,Polydora Exal Bottom 4"
60,TBBC1709-01,TBCOLL_20170906_1_0277_1,45.1,29.8,15.7,10.58,1.02,3.01,8.31,1.26,7.96,TB-B-2496,
61,TBBC1709-02,TBCOLL_20170906_1_0277_1,45.9,24.8,9.7,10.35,1.03,2.55,7.22,1.21,6.8,TB-B-2497,",Polydora Exal Bottom 2"
62,TBBC1709-03,TBCOLL_20170906_1_0277_1,46.4,29.5,18,15.6,0.99,4.88,9.52,1.35,8.81,TB-B-2498,Polydora Internal Top 1
63,TBBC1709-04,TBCOLL_20170906_1_0277_1,51.3,27.5,15.4,16.36,1.03,5.46,10.57,1.52,9.82,TB-B-2499,",Polydora Esternal Top 1,Polydora Exal Bottom 1"
64,TBBC1709-05,TBCOLL_20170906_1_0277_1,39.2,31.3,16,11.63,1.01,3.13,7.49,1.21,6.87,TB-B-2500,",Polydora Esternal Top 1,Polydora Exal Bottom 2"
65,TBMC1709-01,TBCOLL_20170906_1_0291_1,61.3,54,29.9,66.79,1.02,15.64,46.49,2.44,39.01,TB-M-2501,",Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 38,Polydora Exal Bottom 31"
66,TBMC1709-02,TBCOLL_20170906_1_0291_1,46.2,30.2,13,16.74,1,4.12,12.42,1.37,10.94,TB-M-2502,"Polydora Internal Top 1,Polydora Internal Bottom 2,Cliona Bottom Present,Polydora Esternal Top 6,Polydora Exal Bottom 6"
67,TBMC1709-03,TBCOLL_20170906_1_0291_1,43.5,31.4,13.8,15.81,1.01,4.72,11.45,1.51,9.78,TB-M-2503,"Polydora Internal Top 1,Polydora Internal Bottom 2,Cliona Bottom Present,Polydora Esternal Top 11,Polydora Exal Bottom 4"
68,TBMC1709-04,TBCOLL_20170906_1_0291_1,50.5,39.2,16.1,25.94,1.01,5.61,19.42,1.47,17.65,TB-M-2504,"Polydora Internal Top 4,Polydora Internal Bottom 2,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 25,Polydora Exal Bottom 22"
69,TBMC1709-05,TBCOLL_20170906_1_0291_1,25.2,20.4,7.8,3.67,1.02,1.59,2.81,1.1,2.53,TB-M-2505,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 7,Polydora Exal Bottom 3"
70,TBLC1710-01,TBCOLL_20171011_1_0278_1,45.9,39.1,26.8,24.57,1.02,6.27,14.84,1.68,13.91,TB-L-2506,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 14,Polydora Exal Bottom 15"
71,TBLC1710-02,TBCOLL_20171011_1_0278_1,57.5,36.9,13.8,17.33,1.01,3.66,12.46,1.41,11.93,TB-L-2507,",Polydora Internal Bottom 2,Cliona Bottom Present,Polydora Esternal Top 3,Polydora Exal Bottom 2"
72,TBLC1710-03,TBCOLL_20171011_1_0278_1,44.6,21.2,12.3,10.7,1.02,2.72,6.41,1.35,6.2,TB-L-2508,
73,TBLC1710-04,TBCOLL_20171011_1_0278_1,41.9,27.7,15.1,13.17,1.01,3.23,9.42,1.35,9.1,TB-L-2509,
74,TBLC1710-05,TBCOLL_20171011_1_0278_1,53.5,38.2,14.7,20.68,1.01,4.05,14.83,1.45,14.18,TB-L-2510,
75,TBLC1710-06,TBCOLL_20171011_1_0280_1,47.6,37.5,18.7,22.53,1,6.37,15.48,1.86,14.38,TB-L-2511,
76,TBLC1710-07,TBCOLL_20171011_1_0280_1,45.7,30,18.6,15.36,1.01,3.26,10.46,1.4,10,TB-L-2512,"Polydora Internal Top 2,Polydora Internal Bottom 1,Polydora Esternal Top 2,Polydora Exal Bottom 1"
77,TBLC1710-08,TBCOLL_20171011_1_0280_1,56,42.8,16.1,28.01,1.01,4.39,18.9,1.72,18.23,TB-L-2513,
78,TBLC1710-09,TBCOLL_20171011_1_0280_1,47.2,30.6,22.4,21.56,1.01,4.26,14.54,1.63,13.71,TB-L-2514,
79,TBLC1710-10,TBCOLL_20171011_1_0280_1,64.6,36.3,19.3,23.69,1.02,6.43,17.47,2.13,16.34,TB-L-2515,"Polydora Internal Top 1,Polydora Internal Bottom 2,Polydora Esternal Top 2,Polydora Exal Bottom 1"
80,TBLC1710-11,TBCOLL_20171011_1_0282_1,46.8,34.3,18.2,21.4,1.04,3.77,15.46,1.45,14.73,TB-L-2516,"Polydora Internal Top 1,Cliona Bottom Present,Polydora Esternal Top 8,Polydora Exal Bottom 5"
81,TBLC1710-12,TBCOLL_20171011_1_0282_1,44,37.3,16.5,14.85,1,3.07,10.5,1.32,9.42,TB-L-2517,",Cliona Top Present,Cliona Bottom Present,Polydora Exal Bottom 5"
82,TBLC1710-13,TBCOLL_20171011_1_0282_1,47.1,38.8,25.3,29.46,1.03,5.63,20.68,1.73,17.54,TB-L-2518,"Polydora Internal Top 1,Polydora Internal Bottom 3,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 11,Polydora Exal Bottom 6"
83,TBLC1710-14,TBCOLL_20171011_1_0282_1,47.5,36.3,15.4,18.59,1.06,3.93,12.72,1.57,12.04,TB-L-2519,",Polydora Internal Bottom 2,Cliona Bottom Present,Polydora Esternal Top 3,Polydora Exal Bottom 4"
84,TBLC1710-15,TBCOLL_20171011_1_0282_1,50.3,30.8,25.9,25.93,1.02,4.85,18.94,1.58,16.5,TB-L-2520,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 2"
85,TBBC1710-01,TBCOLL_20171011_1_0277_1,63.9,31.5,20.6,26.84,1.02,5.59,17.93,1.5,17.26,TB-B-2521,",Polydora Exal Bottom 7"
86,TBBC1710-02,TBCOLL_20171011_1_0277_1,53.4,32.2,15.7,18.08,1.02,3.6,12.31,1.47,11.81,TB-B-2522,"Polydora Internal Top 1,Polydora Esternal Top 5,Polydora Exal Bottom 18"
87,TBBC1710-03,TBCOLL_20171011_1_0277_1,49.5,41,15,18.05,1.03,5.37,11.21,1.42,10.55,TB-B-2523,"Polydora Internal Top 2,Polydora Esternal Top 1,Polydora Exal Bottom 1"
88,TBBC1710-04,TBCOLL_20171011_1_0277_1,43.6,30.7,13.5,11.5,1,2.91,7.84,1.47,7.16,TB-B-2524,",Cliona Bottom Present,Polydora Esternal Top 4,Polydora Exal Bottom 12"
89,TBBC1710-05,TBCOLL_20171011_1_0277_1,48,35.8,15.8,18.65,1.01,5.44,11.45,1.73,10.05,TB-B-2525,",Polydora Internal Bottom 2,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 26,Polydora Exal Bottom 27"
90,TBMC1710-01,TBCOLL_20171011_1_0291_1,17.6,46.8,26.3,48.74,1.02,10.7,32.9,1.65,28.83,TB-M-2526,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 60,Polydora Exal Bottom 31"
91,TBMC1710-02,TBCOLL_20171011_1_0291_1,50.9,46.6,24.1,31.81,1.03,7.48,21.08,1.46,18.51,TB-M-2527,"Polydora Internal Top 3,Polydora Internal Bottom 5,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 14,Polydora Exal Bottom 21"
92,TBMC1710-03,TBCOLL_20171011_1_0291_1,54.5,42.4,23.3,36.19,0.99,7.81,26.71,1.93,22.37,TB-M-2528,"Polydora Internal Top 3,Polydora Internal Bottom 2,Cliona Bottom Present,Polydora Esternal Top 40,Polydora Exal Bottom 58"
93,TBMC1710-04,TBCOLL_20171011_1_0291_1,36.9,30.6,16.6,11.12,1.03,3.69,7.64,1.9,6.99,TB-M-2529,"Polydora Internal Top 1,Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 7,Polydora Exal Bottom 3"
94,TBMC1710-05,TBCOLL_20171011_1_0291_1,45.7,30.3,19.8,19.5,1,4.65,14.3,2.36,12.33,TB-M-2530,",Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 7,Polydora Exal Bottom 13"
95,TBLC1711-01,TBCOLL_20171117_1_0278_1,50.1,39.5,12,16.01,1.02,4.74,10.42,1.6,10.01,TB-L-2531,
96,TBLC1711-02,TBCOLL_20171117_1_0278_1,48.1,26.4,12.3,10.56,1.02,2.52,7.94,1.33,7.7,TB-L-2532,
97,TBLC1711-03,TBCOLL_20171117_1_0278_1,63.2,36.7,25.5,30.25,1.05,7.11,19.14,1.95,18.12,TB-L-2533,",Polydora Internal Bottom 2,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 6,Polydora Exal Bottom 15"
98,TBLC1711-04,TBCOLL_20171117_1_0278_1,46.9,26.6,20.1,11.97,1.03,3.19,8.05,1.37,7.79,TB-L-2534,",Polydora Exal Bottom 1"
99,TBLC1711-05,TBCOLL_20171117_1_0278_1,37.2,31.6,13,8.52,1.03,2.69,5.89,1.28,5.72,TB-L-2535,
100,TBLC1711-06,TBCOLL_20171117_1_0280_1,57,36.4,21.1,27.93,1.01,8.07,18.75,2.43,18.12,TB-L-2536,",Cliona Bottom Present"
101,TBLC1711-07,TBCOLL_20171117_1_0280_1,42.9,32.3,19.9,15.15,1.01,5.45,9.67,1.78,9.38,TB-L-2537,
102,TBLC1711-08,TBCOLL_20171117_1_0280_1,65.2,44.2,16.5,30.97,0.99,7.88,21.01,2.22,20.29,TB-L-2538,
103,TBLC1711-09,TBCOLL_20171117_1_0280_1,43.7,30,17.5,15.36,1.03,4.17,10.48,1.7,9.92,TB-L-2539,
104,TBLC1711-10,TBCOLL_20171117_1_0280_1,49.1,34.4,18,21.77,1.02,5.73,14.38,2.12,13.7,TB-L-2540,",Cliona Bottom Present,Polydora Exal Bottom 1"
105,TBLC1711-11,TBCOLL_20171117_1_0282_1,55.3,43,16,12.29,1.04,3.78,8.27,1.52,7.97,TB-L-2541,
106,TBLC1711-12,TBCOLL_20171117_1_0282_1,52.6,38.1,17,15.22,1.01,3.88,10.75,1.59,9.93,TB-L-2542,",Cliona Bottom Present,Polydora Esternal Top 1,Polydora Exal Bottom 9"
107,TBLC1711-13,TBCOLL_20171117_1_0282_1,62.7,43.7,18.1,21.21,1.02,5.11,14.27,1.53,13.25,TB-L-2543,"Polydora Internal Top 1,Cliona Bottom Present,Polydora Esternal Top 5,Polydora Exal Bottom 2"
108,TBLC1711-14,TBCOLL_20171117_1_0282_1,58.9,40.3,25.3,25.52,1.03,5.95,17.33,1.81,15.4,TB-L-2544,",Cliona Bottom Present,Polydora Esternal Top 1,Polydora Exal Bottom 8"
109,TBLC1711-15,TBCOLL_20171117_1_0282_1,46.3,36.1,19.1,17.97,1.02,3.27,12.48,1.38,10.99,TB-L-2545,",Polydora Internal Bottom 4,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 6,Polydora Exal Bottom 18"
110,TBBC1711-01,TBCOLL_20171117_1_0277_1,59.3,38.7,23.1,43.97,1.02,8.98,28.46,1.68,26.93,TB-B-2546,"Polydora Internal Top 1,Polydora Internal Bottom 2,Polydora Esternal Top 1,Polydora Exal Bottom 16"
111,TBBC1711-02,TBCOLL_20171117_1_0277_1,74.1,43.5,21.6,50.56,1.02,9.59,35.04,1.92,32.91,TB-B-2547,"Polydora Internal Top 1,Polydora Esternal Top 4,Polydora Exal Bottom 3"
112,TBBC1711-03,TBCOLL_20171117_1_0277_1,65.2,46.9,21.4,46.73,1.03,9.96,31.87,2.05,30.11,TB-B-2548,",Polydora Exal Bottom 8"
113,TBBC1711-04,TBCOLL_20171117_1_0277_1,44.6,36.9,17,16.92,1.02,4.39,11.18,1.48,10.63,TB-B-2549,",Polydora Exal Bottom 2"
114,TBBC1711-05,TBCOLL_20171117_1_0277_1,42,31.6,12.5,11.7,1.04,3.56,7.59,1.34,7.19,TB-B-2550,
115,TBMC1711-01,TBCOLL_20171117_1_0291_1,37.4,31.4,13.8,9.25,1,3.23,6.34,1.44,5.81,TB-M-2551,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 11,Polydora Exal Bottom 9"
116,TBMC1711-02,TBCOLL_20171117_1_0291_1,43.7,33,15.4,11.49,1.05,3.57,7.49,1.48,6.6,TB-M-2552,"Polydora Internal Top 1,Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 25,Polydora Exal Bottom 22"
117,TBMC1711-03,TBCOLL_20171117_1_0291_1,35.9,31.7,13.9,8.97,1.03,3.55,5.92,1.48,5.21,TB-M-2553,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Bottom Present,Polydora Esternal Top 31,Polydora Exal Bottom 12"
118,TBMC1711-04,TBCOLL_20171117_1_0291_1,37.9,35.4,15.3,9.78,1.02,2.73,7.01,1.29,6.28,TB-M-2554,",Polydora Internal Bottom 1,Polydora Esternal Top 18,Polydora Exal Bottom 17"
119,TBMC1711-05,TBCOLL_20171117_1_0291_1,42.4,32,18.4,11.07,1.03,4.26,7.12,1.67,6.35,TB-M-2555,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 20,Polydora Exal Bottom 4"
120,TBLC1712-01,TBCOLL_20171219_1_0278_1,59.6,31.9,15.2,29.18,1.01,6.05,21.87,2.12,18.88,TB-L-2556,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 10,Polydora Exal Bottom 3"
121,TBLC1712-02,TBCOLL_20171219_1_0278_1,49.8,26.6,14,14.68,1.06,4.19,9.5,1.52,7.82,TB-L-2557,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 1"
122,TBLC1712-03,TBCOLL_20171219_1_0278_1,50.3,35,13.5,15.41,1.04,4.22,10.04,1.66,9.26,TB-L-2558,
123,TBLC1712-04,TBCOLL_20171219_1_0278_1,57.6,30,17.4,21.03,1.03,5.35,14.78,1.67,13.52,TB-L-2559,",Cliona Bottom Present,Polydora Exal Bottom 2"
124,TBLC1712-05,TBCOLL_20171219_1_0278_1,48.3,36,21.9,18.16,1.04,4.41,11.79,1.7,10.36,TB-L-2560,",Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 4,Polydora Exal Bottom 3"
125,TBLC1712-06,TBCOLL_20171219_1_0280_1,58,48.3,25.1,37.48,1.1,8.04,28.21,2.22,26.5,TB-L-2561,",Cliona Bottom Present"
126,TBLC1712-07,TBCOLL_20171219_1_0280_1,56.9,33.6,19,26.33,1.05,6.99,18.8,1.98,17.76,TB-L-2562,
127,TBLC1712-08,TBCOLL_20171219_1_0280_1,53.8,37.7,13,18.53,1.04,5.14,13.51,1.77,12.54,TB-L-2563,
128,TBLC1712-09,TBCOLL_20171219_1_0280_1,44.2,34.9,16.7,18.92,1.06,5.24,12.9,1.75,12.15,TB-L-2564,",Polydora Internal Bottom 2,Cliona Bottom Present,Polydora Esternal Top 3"
129,TBLC1712-10,TBCOLL_20171219_1_0280_1,42.4,40.4,14.6,19.51,1.01,4.7,14.06,1.59,13.4,TB-L-2565,
130,TBLC1712-11,TBCOLL_20171219_1_0282_1,66.3,48.4,28.9,52.07,1.06,10.99,38.03,2.47,30.86,TB-L-2566,"Polydora Internal Top 2,Polydora Internal Bottom 1,Cliona Top Present,Cliona Bottom Present,Polydora Esternal Top 12,Polydora Exal Bottom 10"
131,TBLC1712-12,TBCOLL_20171219_1_0282_1,67.9,36.1,20.7,33.22,1.02,5.77,24.51,1.71,21.72,TB-L-2567,",Cliona Top Present,Cliona Bottom Present,Polydora Exal Bottom 7"
