,FixedLocationID,Estuary,SectionName,StationName,StationNumber,ParcelName,ParcelArea,CultchDensity,LatitudeDec,LongitudeDec,Recruitment,Survey,Sediment,Collections,ShellBudget,Dataloggers,Cage,Wave,StartDate,EndDate,Comments,StationNameNumber,EstuaryLongName,DateLastCultched
16,0325,SS,N,SS-3,3,NA,NA,NA,29.416341,-83.240883,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-N-3,Suwannee Sound,NA
17,0326,SS,N,SS-4,4,NA,NA,NA,29.409869,-83.215147,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-N-4,Suwannee Sound,NA
18,0327,SS,C,SS-5,5,NA,NA,NA,29.363317,-83.182407,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-C-5,Suwannee Sound,NA
19,0328,SS,C,SS-6,6,NA,NA,NA,29.296233,-83.18446,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-C-6,Suwannee Sound,NA
20,0329,SS,C,SS-7,7,NA,NA,NA,29.260636,-83.109336,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-C-7,Suwannee Sound,NA
21,0330,SS,C,SS-8,8,NA,NA,NA,29.236376,-83.07522,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-C-8,Suwannee Sound,NA
22,0331,SS,S,SS-9,9,NA,NA,NA,29.194807,-83.083816,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-S-9,Suwannee Sound,NA
23,0332,SS,S,SS-10,10,NA,NA,NA,29.136063,-83.055666,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-S-10,Suwannee Sound,NA
24,0333,SS,S,SS-11,11,NA,NA,NA,29.154803,-82.995543,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-S-11,Suwannee Sound,NA
25,0334,SS,S,SS-12,12,NA,NA,NA,29.172815,-82.989328,Y,N,N,Y,Y,Y,N,N,1/1/2022,12/31/2099,NA,SS-S-12,Suwannee Sound,NA
26,S107,SS,N,SS Shell Budget 729 (2022),729,NA,NA,NA,29.41653,-83.23711,N,N,N,N,Y,N,N,N,1/1/2022,12/31/2022,NA,SS Shell Budget 729 (2022),Suwannee Sound,NA
27,0625,WC,C,WC-1,1,NA,NA,NA,29.07448,-82.80488,Y,N,N,N,N,N,N,N,2/1/2024,12/31/2099,NA,WC-1-1,Withlacoochee/Crystal River,NA
28,0626,WC,C,WC-2,2,NA,NA,NA,29.07138,-82.78283,Y,N,N,N,N,N,N,N,2/1/2024,12/31/2099,NA,WC-2-2,Withlacoochee/Crystal River,NA
29,0627,WC,C,WC-3,3,NA,NA,NA,29.04047,-82.78669,Y,N,N,N,N,N,N,N,2/1/2024,12/31/2099,NA,WC-3-3,Withlacoochee/Crystal River,NA
30,0628,WC,C,WC-4,4,NA,NA,NA,29.01483,-82.75425,Y,N,N,N,N,N,N,N,2/1/2024,12/31/2099,NA,WC-4-4,Withlacoochee/Crystal River,NA
31,0629,WC,S,WC-5,5,NA,NA,NA,28.94627,-82.73335,Y,N,N,N,N,N,N,N,2/1/2024,12/31/2099,NA,WC-5-5,Withlacoochee/Crystal River,NA
32,0630,WC,S,WC-6,6,NA,NA,NA,28.92714,-82.69331,Y,N,N,N,N,N,N,N,2/1/2024,12/31/2099,NA,WC-6-6,Withlacoochee/Crystal River,NA
33,C037,CR,P,CR P 26408_82124 42,42,NA,NA,NA,26.6807,-82.2081,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,26408_82124,CR-P-26408_82124-42,Caloosahatchee River,NA
34,C038,CR,P,CR P 26411_82126 43,43,NA,NA,NA,26.6865,-82.21105,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,26411_82126,CR-P-26411_82126-43,Caloosahatchee River,NA
35,C039,CR,P,CR P 26412_82127 44,44,NA,NA,NA,26.68764,-82.21304,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,26412_82127,CR-P-26412_82127-44,Caloosahatchee River,NA
36,C040,CR,P,CR P 26410_82131 45,45,NA,NA,NA,26.68428,-82.21888,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,26410_82131,CR-P-26410_82131-45,Caloosahatchee River,NA
37,C041,CR,P,CR P 26408_82125 46,46,NA,NA,NA,26.68011,-82.2092,N,Y,N,N,N,N,N,N,5/31/2024,7/1/2024,26408_82125,CR-P-26408_82125-46,Caloosahatchee River,NA
38,0618,SS,C,DI6,6,Deer Island,NA,NA,29.23574,-83.072471,N,Y,N,Y,Y,N,N,N,5/31/2023,12/31/2099,Harvest CR,DI 6-6,Suwannee Sound,NA
39,0619,SS,C,TC1,1,Trout Creek,NA,NA,29.2675,-83.0825,N,Y,N,Y,Y,N,N,N,5/31/2023,12/31/2099,Harvest PD,TC 1-1,Suwannee Sound,NA
40,0620,SS,C,TC2,2,Trout Creek,NA,NA,29.259167,-83.075833,N,Y,N,Y,Y,N,N,N,5/31/2023,12/31/2099,Harvest PD,TC 2-2,Suwannee Sound,NA
41,0621,SS,C,TC3,3,Trout Creek,NA,NA,29.264167,-83.080833,N,Y,N,Y,Y,N,N,N,5/31/2023,12/31/2099,Harvest PD,TC 3-3,Suwannee Sound,NA
42,0622,SS,C,TC4,4,Trout Creek,NA,NA,29.265833,-83.080833,N,Y,N,Y,Y,N,N,N,5/31/2023,12/31/2099,Harvest PD,TC 4-4,Suwannee Sound,NA
43,0623,SS,C,TC5,5,Trout Creek,NA,NA,29.260833,-83.069167,N,Y,N,Y,Y,N,N,N,5/31/2023,12/31/2099,Harvest PD,TC 5-5,Suwannee Sound,NA
44,0624,SS,C,TC6,6,Trout Creek,NA,NA,29.260833,-83.074167,N,Y,N,Y,Y,N,N,N,5/31/2023,12/31/2099,Harvest PD,TC 6-6,Suwannee Sound,NA
45,I001,WC,N,WC Baywide 90,90,NA,NA,NA,29.16323,-82.85878,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 90-90,Withlacoochee/Crystal River,NA
46,I002,WC,N,WC Baywide 109,109,NA,NA,NA,29.16357,-82.89349,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 109-109,Withlacoochee/Crystal River,NA
47,I003,WC,N,WC Baywide 46,46,NA,NA,NA,29.15731,-82.88191,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 46-46,Withlacoochee/Crystal River,NA
48,I004,WC,N,WC Baywide 14,14,NA,NA,NA,29.11227,-82.81041,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 14-14,Withlacoochee/Crystal River,NA
49,I005,WC,N,WC Baywide 21,21,NA,NA,NA,29.11474,-82.81827,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 21-21,Withlacoochee/Crystal River,NA
50,I006,WC,N,WC Baywide 15,15,NA,NA,NA,29.11247,-82.80933,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 15-15,Withlacoochee/Crystal River,NA
51,I007,WC,N,WC Baywide 26,26,NA,NA,NA,29.11631,-82.81966,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 26-26,Withlacoochee/Crystal River,NA
52,I008,WC,C,WC Baywide 408,408,NA,NA,NA,29.0731,-82.80965,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 408-408,Withlacoochee/Crystal River,NA
53,I009,WC,N,WC Baywide 30,30,NA,NA,NA,29.08962,-82.81161,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 30-30,Withlacoochee/Crystal River,NA
54,I010,WC,N,WC Baywide 31,31,NA,NA,NA,29.09129,-82.80947,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 31-31,Withlacoochee/Crystal River,NA
55,I011,WC,C,WC Baywide 407,407,NA,NA,NA,29.07232,-82.81047,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 407-407,Withlacoochee/Crystal River,NA
56,I012,WC,C,WC Baywide 300,300,NA,NA,NA,29.05292,-82.79477,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 300-300,Withlacoochee/Crystal River,NA
57,I013,WC,C,WC Baywide 321,321,NA,NA,NA,29.05428,-82.78626,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 321-321,Withlacoochee/Crystal River,NA
58,I014,WC,C,WC Baywide 334,334,NA,NA,NA,29.05629,-82.7948,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 334-334,Withlacoochee/Crystal River,NA
59,I015,WC,C,WC Baywide 340,340,NA,NA,NA,29.05668,-82.7822,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 340-340,Withlacoochee/Crystal River,NA
60,I016,WC,C,WC Baywide 365,365,NA,NA,NA,29.06009,-82.79465,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 365-365,Withlacoochee/Crystal River,NA
61,I017,WC,C,WC Baywide 267,267,NA,NA,NA,29.0495,-82.81035,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 267-267,Withlacoochee/Crystal River,NA
62,I018,WC,N,WC Baywide 95,95,NA,NA,NA,29.15559,-82.81806,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 95-95,Withlacoochee/Crystal River,NA
63,I019,WC,N,WC Baywide 98,98,NA,NA,NA,29.15715,-82.82281,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 98-98,Withlacoochee/Crystal River,NA
64,I020,WC,N,WC Baywide 100,100,NA,NA,NA,29.15686,-82.81086,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 100-100,Withlacoochee/Crystal River,NA
65,I021,WC,N,WC Baywide 121,121,NA,NA,NA,29.16246,-82.8197,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 121-121,Withlacoochee/Crystal River,NA
66,I022,WC,N,WC Baywide 126,126,NA,NA,NA,29.16315,-82.80696,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 126-126,Withlacoochee/Crystal River,NA
67,I023,WC,C,WC Baywide 16,16,NA,NA,NA,29.00876,-82.76418,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 16-16,Withlacoochee/Crystal River,NA
68,I024,WC,C,WC Baywide 78,78,NA,NA,NA,29.02822,-82.75704,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 78-78,Withlacoochee/Crystal River,NA
69,I025,WC,C,WC Baywide 96,96,NA,NA,NA,29.02976,-82.75729,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 96-96,Withlacoochee/Crystal River,NA
70,I026,WC,C,WC Baywide 50,50,NA,NA,NA,29.02106,-82.75314,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 50-50,Withlacoochee/Crystal River,NA
71,I027,WC,C,WC Baywide 44,44,NA,NA,NA,29.01954,-82.76418,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 44-44,Withlacoochee/Crystal River,NA
72,I028,WC,C,WC Baywide 158,158,NA,NA,NA,29.03713,-82.75778,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 158-158,Withlacoochee/Crystal River,NA
73,I029,WC,C,WC Baywide 226,226,NA,NA,NA,29.04374,-82.75332,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 226-226,Withlacoochee/Crystal River,NA
74,I030,WC,C,WC Baywide 86,86,NA,NA,NA,29.03715,-82.75214,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 86-86,Withlacoochee/Crystal River,NA
75,I031,WC,C,WC Baywide 207,207,NA,NA,NA,29.04296,-82.7572,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 207-207,Withlacoochee/Crystal River,NA
76,I032,WC,C,WC Baywide 180,180,NA,NA,NA,29.04037,-82.78783,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 180-180,Withlacoochee/Crystal River,NA
77,I033,WC,C,WC Baywide 115,115,NA,NA,NA,29.03334,-82.78007,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 115-115,Withlacoochee/Crystal River,NA
78,I034,WC,C,WC Baywide 116,116,NA,NA,NA,29.03331,-82.77798,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 116-116,Withlacoochee/Crystal River,NA
79,I035,WC,C,WC Baywide 194,194,NA,NA,NA,29.04284,-82.79933,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 194-194,Withlacoochee/Crystal River,NA
80,I036,WC,C,WC Baywide 232,232,NA,NA,NA,29.04585,-82.78638,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 232-232,Withlacoochee/Crystal River,NA
81,I037,WC,C,WC Baywide 258,258,NA,NA,NA,29.04562,-82.77407,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 258-258,Withlacoochee/Crystal River,NA
82,I038,WC,C,WC Baywide 155,155,NA,NA,NA,29.07138,-82.78349,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 155-155,Withlacoochee/Crystal River,NA
83,I039,WC,C,WC Baywide 162,162,NA,NA,NA,29.07367,-82.78718,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 162-162,Withlacoochee/Crystal River,NA
84,I040,WC,C,WC Baywide 373,373,NA,NA,NA,29.06022,-82.77555,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 373-373,Withlacoochee/Crystal River,NA
85,I041,WC,C,WC Baywide 184,184,NA,NA,NA,29.04046,-82.77417,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 184-184,Withlacoochee/Crystal River,NA
86,I042,WC,C,WC Baywide 122,122,NA,NA,NA,29.05924,-82.76288,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 122-122,Withlacoochee/Crystal River,NA
87,I043,WC,C,WC Baywide 129,129,NA,NA,NA,29.0615,-82.77603,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 129-129,Withlacoochee/Crystal River,NA
88,I044,WC,C,WC Baywide 137,137,NA,NA,NA,29.06213,-82.75545,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 137-137,Withlacoochee/Crystal River,NA
89,I045,WC,C,WC Baywide 147,147,NA,NA,NA,29.06583,-82.76824,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 147-147,Withlacoochee/Crystal River,NA
90,I046,WC,S,WC Baywide 36,36,NA,NA,NA,28.84823,-82.65741,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 36-36,Withlacoochee/Crystal River,NA
91,I047,WC,S,WC Baywide 39,39,NA,NA,NA,28.84671,-82.65228,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 39-39,Withlacoochee/Crystal River,NA
92,I048,WC,S,WC Baywide 105,105,NA,NA,NA,28.87171,-82.66462,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 105-105,Withlacoochee/Crystal River,NA
93,I049,WC,S,WC Baywide 79,79,NA,NA,NA,28.86422,-82.66177,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 79-79,Withlacoochee/Crystal River,NA
94,I050,WC,S,WC Baywide 135,135,NA,NA,NA,28.98316,-82.76313,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest UN,WC Baywide 135-135,Withlacoochee/Crystal River,NA
95,I051,WC,S,WC Baywide 150,150,NA,NA,NA,28.98568,-82.75791,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest UN,WC Baywide 150-150,Withlacoochee/Crystal River,NA
96,I052,WC,C,WC Baywide 11,11,NA,NA,NA,28.99228,-82.76095,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 11-11,Withlacoochee/Crystal River,NA
97,I053,WC,S,WC Baywide 157,157,NA,NA,NA,28.98839,-82.75295,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest UN,WC Baywide 157-157,Withlacoochee/Crystal River,NA
98,I054,WC,S,WC Baywide 151,151,NA,NA,NA,28.91599,-82.68904,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 151-151,Withlacoochee/Crystal River,NA
99,I055,WC,S,WC Baywide 169,169,NA,NA,NA,28.92745,-82.69312,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 169-169,Withlacoochee/Crystal River,NA
100,I056,WC,S,WC Baywide 47,47,NA,NA,NA,28.92493,-82.70087,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 47-47,Withlacoochee/Crystal River,NA
101,I057,WC,S,WC Baywide 140,140,NA,NA,NA,28.91117,-82.71992,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 140-140,Withlacoochee/Crystal River,NA
102,I058,WC,S,WC Baywide 13,13,NA,NA,NA,28.90049,-82.68692,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CR,WC Baywide 13-13,Withlacoochee/Crystal River,NA
103,I059,WC,S,WC Baywide 30,30,NA,NA,NA,28.91236,-82.70359,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CR,WC Baywide 30-30,Withlacoochee/Crystal River,NA
104,I060,WC,S,WC Baywide 58,58,NA,NA,NA,28.88965,-82.69974,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 58-58,Withlacoochee/Crystal River,NA
105,I061,WC,S,WC Baywide 98,98,NA,NA,NA,28.89578,-82.7155,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 98-98,Withlacoochee/Crystal River,NA
106,I062,WC,S,WC Baywide 101,101,NA,NA,NA,28.89458,-82.70729,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 101-101,Withlacoochee/Crystal River,NA
107,I063,WC,S,WC Baywide 124,124,NA,NA,NA,28.90298,-82.71256,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 124-124,Withlacoochee/Crystal River,NA
108,I064,WC,S,WC Baywide 31,31,NA,NA,NA,28.91477,-82.70523,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CR,WC Baywide 31-31,Withlacoochee/Crystal River,NA
109,I065,WC,S,WC Baywide 28,28,NA,NA,NA,28.90064,-82.66833,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 28-28,Withlacoochee/Crystal River,NA
110,I066,WC,S,WC Baywide 4,4,NA,NA,NA,28.88826,-82.64983,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CR,WC Baywide 4-4,Withlacoochee/Crystal River,NA
111,I067,WC,S,WC Baywide 10,10,NA,NA,NA,28.88576,-82.64186,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 10-10,Withlacoochee/Crystal River,NA
112,I068,WC,S,WC Baywide 19,19,NA,NA,NA,28.89668,-82.65996,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 19-19,Withlacoochee/Crystal River,NA
113,I069,WC,S,WC Baywide 148,148,NA,NA,NA,28.93956,-82.73208,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 148-148,Withlacoochee/Crystal River,NA
114,I070,WC,S,WC Baywide 172 ALT,172,NA,NA,NA,28.94014,-82.70939,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 172 ALT-172,Withlacoochee/Crystal River,NA
115,I071,WC,S,WC Baywide 153,153,NA,NA,NA,28.94502,-82.73414,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 153-153,Withlacoochee/Crystal River,NA
116,I072,WC,S,WC Baywide 37,37,NA,NA,NA,28.93419,-82.72594,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CR,WC Baywide 37-37,Withlacoochee/Crystal River,NA
117,I073,WC,S,WC Baywide 42,42,NA,NA,NA,28.93971,-82.72149,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CR,WC Baywide 42-42,Withlacoochee/Crystal River,NA
118,I074,WC,S,WC Baywide 37 ALT,37,NA,NA,NA,28.93261,-82.72499,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CR,WC Baywide 37 ALT-37,Withlacoochee/Crystal River,NA
119,I075,WC,S,WC Baywide 172,172,NA,NA,NA,28.94152,-82.71154,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 172-172,Withlacoochee/Crystal River,NA
120,I076,WC,S,WC Baywide 40,40,NA,NA,NA,28.88599,-82.6713,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest CA,WC Baywide 40-40,Withlacoochee/Crystal River,NA
121,I077,WC,S,WC Baywide 130,130,NA,NA,NA,28.88057,-82.66598,N,Y,N,N,N,N,N,N,7/31/2022,3/1/2023,Harvest PD,WC Baywide 130-130,Withlacoochee/Crystal River,NA
122,S127,SS,C,SS Subtidal Baywide 7,7,NA,NA,NA,29.23683,-83.14546,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest CA,SS Subtidal Baywide 7-7,Suwannee Sound,NA
123,S128,SS,C,SS Subtidal Baywide 402,402,NA,NA,NA,29.23452,-83.14281,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest CA,SS Subtidal Baywide 402-402,Suwannee Sound,NA
124,S129,SS,C,SS Subtidal Baywide 4,4,NA,NA,NA,29.23324,-83.1414,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest CA,SS Subtidal Baywide 4-4,Suwannee Sound,NA
125,S130,SS,C,SS Subtidal Baywide 21,21,NA,NA,NA,29.23096,-83.13769,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest CA,SS Subtidal Baywide 21-21,Suwannee Sound,NA
126,S131,SS,C,SS Subtidal Baywide 302,302,NA,NA,NA,29.22926,-83.13603,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest CA,SS Subtidal Baywide 302-302,Suwannee Sound,NA
127,S132,SS,C,SS Subtidal Baywide 3,3,NA,NA,NA,29.22728,-83.13416,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest CA,SS Subtidal Baywide 3-3,Suwannee Sound,NA
128,S133,SS,S,SS Subtidal Baywide 502,502,NA,NA,NA,29.2229,-83.13069,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest AP,SS Subtidal Baywide 502-502,Suwannee Sound,NA
129,S134,SS,S,SS Subtidal Baywide 5,5,NA,NA,NA,29.22138,-83.12927,N,Y,N,N,N,N,N,N,3/31/2023,6/1/2023,Harvest AP,SS Subtidal Baywide 5-5,Suwannee Sound,NA
