"","SampleEventWQID","SampleEventID","Temperature","Salinity","DissolvedOxygen","pH","Depth","SampleDepth","Secchi","TurbidityYSI","TurbidityHach","Comments","CollectionTime","PercentDissolvedOxygen","YSICalibration","YSINotes"
"32","CRSDTP_20230413_1_0232_1_01","CRSDTP_20230413_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as CRE Dermo 4/13/23",NA,NA,"Y         ",NA
"33","CRSDTP_20230413_1_0233_1_01","CRSDTP_20230413_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as CRE RCRT",NA,NA,"Y         ",NA
"34","TBWAVE_20230227_1_0277_1_01","TBWAVE_20230227_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"35","TBWAVE_20230227_1_0278_1_01","TBWAVE_20230227_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"36","TBWAVE_20230227_1_0291_1_01","TBWAVE_20230227_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"37","TBWAVE_20230227_1_0527_1_01","TBWAVE_20230227_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"38","TBWAVE_20230227_1_0528_1_01","TBWAVE_20230227_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"39","TBWAVE_20230227_1_0529_1_01","TBWAVE_20230227_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"40","TBSDTP_20230518_1_0277_1_01","TBSDTP_20230518_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"41","TBSDTP_20230518_1_0278_1_01","TBSDTP_20230518_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"42","TBSDTP_20230518_1_0291_1_01","TBSDTP_20230518_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"43","TBSDTP_20230518_1_0527_1_01","TBSDTP_20230518_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"44","TBSDTP_20230518_1_0528_1_01","TBSDTP_20230518_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"45","TBSDTP_20230518_1_0529_1_01","TBSDTP_20230518_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"46","CRSDTP_20230808_1_0230_1_01","CRSDTP_20230808_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as CRE RCRT",NA,NA,"Y         ",NA
"47","CRSDTP_20230808_1_0231_1_01","CRSDTP_20230808_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as CRE RCRT",NA,NA,"Y         ",NA
"48","CRSDTP_20230808_1_0232_1_01","CRSDTP_20230808_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as CRE RCRT 8/8/23",NA,NA,"Y         ",NA
"49","CRSDTP_20230808_1_0233_1_01","CRSDTP_20230808_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as CRE RCRT 8/8/23",NA,NA,"Y         ",NA
"50","TBWAVE_20230626_1_0277_1_01","TBWAVE_20230626_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"51","TBWAVE_20230626_1_0278_1_01","TBWAVE_20230626_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"52","TBWAVE_20230626_1_0291_1_01","TBWAVE_20230626_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"53","TBWAVE_20230626_1_0527_1_01","TBWAVE_20230626_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"54","TBWAVE_20230626_1_0528_1_01","TBWAVE_20230626_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"55","TBWAVE_20230626_1_0529_1_01","TBWAVE_20230626_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"56","CRWAVE_20230413_1_0230_1_01","CRWAVE_20230413_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"57","CRWAVE_20230413_1_0231_1_01","CRWAVE_20230413_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"58","CRWAVE_20230413_1_0232_1_01","CRWAVE_20230413_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"59","CRWAVE_20230413_1_0233_1_01","CRWAVE_20230413_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"60","CRWAVE_20230509_1_0230_1_01","CRWAVE_20230509_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"61","CRWAVE_20230509_1_0231_1_01","CRWAVE_20230509_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"62","CRWAVE_20230509_1_0232_1_01","CRWAVE_20230509_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"63","CRWAVE_20230509_1_0233_1_01","CRWAVE_20230509_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"64","CRSDTP_20230509_1_0233_1_01","CRSDTP_20230509_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ Same as 5/9/23 RCRT",NA,NA,"Y         ",NA
"65","TBWAVE_20230418_1_0277_1_01","TBWAVE_20230418_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"66","TBWAVE_20230418_1_0278_1_01","TBWAVE_20230418_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"67","TBWAVE_20230418_1_0291_1_01","TBWAVE_20230418_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"68","TBWAVE_20230418_1_0527_1_01","TBWAVE_20230418_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"69","TBWAVE_20230418_1_0528_1_01","TBWAVE_20230418_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"70","TBWAVE_20230418_1_0529_1_01","TBWAVE_20230418_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"71","CRWAVE_20230711_1_0230_1_01","CRWAVE_20230711_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"72","CRWAVE_20230711_1_0231_1_01","CRWAVE_20230711_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"73","CRWAVE_20230711_1_0232_1_01","CRWAVE_20230711_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"74","CRWAVE_20230711_1_0233_1_01","CRWAVE_20230711_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"75","CRWAVE_20230808_1_0230_1_01","CRWAVE_20230808_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"76","CRWAVE_20230808_1_0231_1_01","CRWAVE_20230808_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"77","CRWAVE_20230808_1_0232_1_01","CRWAVE_20230808_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"78","CRWAVE_20230808_1_0233_1_01","CRWAVE_20230808_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"79","TBWAVE_20230815_1_0277_1_01","TBWAVE_20230815_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as TB RCRT 8/15/23",NA,NA,"Y         ",NA
"80","TBWAVE_20230815_1_0278_1_01","TBWAVE_20230815_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as TB RCRT 8/15/23",NA,NA,"Y         ",NA
"81","TBWAVE_20230815_1_0291_1_01","TBWAVE_20230815_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as TB RCRT 8/15/23",NA,NA,"Y         ",NA
"82","TBWAVE_20230815_1_0527_1_01","TBWAVE_20230815_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as TB RCRT 8/15/23",NA,NA,"Y         ",NA
"83","TBWAVE_20230815_1_0528_1_01","TBWAVE_20230815_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as TB RCRT 8/15/23",NA,NA,"Y         ",NA
"84","TBWAVE_20230815_1_0529_1_01","TBWAVE_20230815_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as TB RCRT 8/15/23",NA,NA,"Y         ",NA
"85","TBWAVE_20230718_1_0527_1_01","TBWAVE_20230718_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"86","TBWAVE_20230718_1_0528_1_01","TBWAVE_20230718_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"87","TBWAVE_20230718_1_0529_1_01","TBWAVE_20230718_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"88","TBSDTP_20230718_1_0277_1_01","TBSDTP_20230718_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"89","TBSDTP_20230718_1_0278_1_01","TBSDTP_20230718_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"90","TBSDTP_20230718_1_0291_1_01","TBSDTP_20230718_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"91","TBSDTP_20230718_1_0527_1_01","TBSDTP_20230718_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"92","TBSDTP_20230718_1_0528_1_01","TBSDTP_20230718_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"93","TBSDTP_20230718_1_0529_1_01","TBSDTP_20230718_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"94","CRWAVE_20230314_1_0230_1_01","CRWAVE_20230314_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"95","CRWAVE_20230314_1_0231_1_01","CRWAVE_20230314_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"96","CRWAVE_20230314_1_0232_1_01","CRWAVE_20230314_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"97","CRWAVE_20230314_1_0233_1_01","CRWAVE_20230314_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"98","TBWAVE_20230321_1_0277_1_01","TBWAVE_20230321_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"99","TBWAVE_20230321_1_0278_1_01","TBWAVE_20230321_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"100","TBWAVE_20230321_1_0291_1_01","TBWAVE_20230321_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"101","TBWAVE_20230321_1_0527_1_01","TBWAVE_20230321_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"102","TBWAVE_20230321_1_0528_1_01","TBWAVE_20230321_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"103","TBWAVE_20230321_1_0529_1_01","TBWAVE_20230321_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"104","CRWAVE_20230613_1_0230_1_01","CRWAVE_20230613_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"105","CRWAVE_20230613_1_0231_1_01","CRWAVE_20230613_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"106","CRWAVE_20230613_1_0232_1_01","CRWAVE_20230613_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"107","CRWAVE_20230613_1_0233_1_01","CRWAVE_20230613_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"108","TBRCRT_20230815_1_0527_1_01","TBRCRT_20230815_1_0527_1",31.6,36.96,5.49,8.15,0.9,0.9,NA,3.82,NA,NA,937,NA,NA,NA
"109","TBRCRT_20230815_1_0528_1_01","TBRCRT_20230815_1_0528_1",32,26.04,5.44,7.7,0.9,0.9,NA,5.5,NA,NA,1224,NA,NA,NA
"110","TBRCRT_20230815_1_0529_1_01","TBRCRT_20230815_1_0529_1",32.6,29.75,5.55,7.78,2.9,0.5,NA,1.68,NA,NA,1255,NA,NA,NA
"111","TBRCRT_20230815_1_0529_1_02","TBRCRT_20230815_1_0529_1",32.3,30.23,4.99,7.74,2.9,2.9,NA,2.67,NA,NA,1255,NA,NA,NA
"112","TBWAVE_20230919_1_0529_1_01","TBWAVE_20230919_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"113","TBWAVE_20230919_1_0528_1_01","TBWAVE_20230919_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"114","TBWAVE_20230919_1_0291_1_01","TBWAVE_20230919_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"115","CRWAVE_20230912_1_0233_1_01","CRWAVE_20230912_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"116","CRWAVE_20230912_1_0230_1_01","CRWAVE_20230912_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"117","CRWAVE_20230912_1_0232_1_01","CRWAVE_20230912_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"118","CRWAVE_20230912_1_0231_1_01","CRWAVE_20230912_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"119","TBWAVE_20230919_1_0278_1_01","TBWAVE_20230919_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT",NA,NA,"Y         ",NA
"120","TBWAVE_20230919_1_0527_1_01","TBWAVE_20230919_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"121","TBWAVE_20230919_1_0277_1_01","TBWAVE_20230919_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"122","TBSDTP_20231017_1_0277_1_01","TBSDTP_20231017_1_0277_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 10/17/23 RCRT",NA,NA,"Y         ",NA
"123","TBSDTP_20231017_1_0278_1_01","TBSDTP_20231017_1_0278_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 10/17/23 RCRT",NA,NA,"Y         ",NA
"124","TBSDTP_20231017_1_0528_1_01","TBSDTP_20231017_1_0528_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 10/17/23 RCRT",NA,NA,"Y         ",NA
"125","TBSDTP_20231017_1_0529_1_01","TBSDTP_20231017_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 10/17/23 RCRT",NA,NA,"Y         ",NA
"126","TBSDTP_20231017_1_0291_1_01","TBSDTP_20231017_1_0291_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 10/17/23 RCRT",NA,NA,"Y         ",NA
"127","TBSDTP_20231017_1_0527_1_01","TBSDTP_20231017_1_0527_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WQ same as 10/17/23 RCRT",NA,NA,"Y         ",NA
"128","CRSDTP_20230912_1_0230_1_01","CRSDTP_20230912_1_0230_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"same WQ as RCRT",NA,NA,"Y         ",NA
"129","CRSDTP_20230912_1_0232_1_01","CRSDTP_20230912_1_0232_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"130","CRSDTP_20230912_1_0231_1_01","CRSDTP_20230912_1_0231_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"131","CRSDTP_20230912_1_0233_1_01","CRSDTP_20230912_1_0233_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same WQ as RCRT ",NA,NA,"Y         ",NA
"132","TBSDTP_20230626_1_0529_1_01","TBSDTP_20230626_1_0529_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same as RCRT",NA,NA,"Y         ",NA
"133","ABSDTP_20180316_1_0157_1_01","ABSDTP_20180316_1_0157_1",16.7,30.37,8.44,8.1,1.25,NA,0.5,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"134","ABSDTP_20180316_1_0164_1_01","ABSDTP_20180316_1_0164_1",16.3,13.07,9.71,8.3,1.75,NA,1.25,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"135","ABSDTP_20180316_1_0008_1_01","ABSDTP_20180316_1_0008_1",16.4,5.87,9.3,8.1,2,NA,1.25,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"136","ABSDTP_20180316_1_0020_1_01","ABSDTP_20180316_1_0020_1",15.4,14.32,9.71,8.3,1.75,NA,1.5,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"137","ABSDTP_20180316_1_0097_1_01","ABSDTP_20180316_1_0097_1",15.4,13.34,9.59,8.3,1.25,NA,1,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"138","ABSDTP_20180316_1_0099_1_01","ABSDTP_20180316_1_0099_1",15.7,13.63,9.51,8.3,1.5,NA,1.5,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"139","ABSDTP_20180418_1_0157_1_01","ABSDTP_20180418_1_0157_1",20.8,31.75,8.34,8.14,1.5,NA,0.5,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"140","ABSDTP_20180418_1_0164_1_01","ABSDTP_20180418_1_0164_1",19.9,26.81,8.88,8.22,1.75,NA,0.75,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"141","ABSDTP_20180417_1_0008_1_01","ABSDTP_20180417_1_0008_1",18.9,5.1,8.19,7.97,2,NA,0.75,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"142","ABSDTP_20180417_1_0020_1_01","ABSDTP_20180417_1_0020_1",18.1,17.02,8.13,7.97,1.75,NA,0.75,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
"143","ABSDTP_20180417_1_0097_1_01","ABSDTP_20180417_1_0097_1",17.9,13.6,8.72,8.16,1.75,NA,1,NA,NA,"WQ logged in YSI only",NA,NA,NA,NA
