"OysterID","Date","Section","StationName","Station","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight","FinalTissueWt","CI","Temperature","Salinity","DO","pH","Group","Year","YearF","GroupYear","pre.post","pre.post.group","GYD"
"ABWC2312-25",2023-12-04,"W","Cabbage Top",2,"242.7",0.97,"21.41","199.45",4.81,178.71,3.84,2.14873258351519,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-02",2023-12-04,"W","Cabbage Top",2,"172.54",1.02,"19.78","143.08",5.01,131.56,3.99,3.0328367284889,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-12",2023-12-04,"W","Cabbage Top",2,"87.83",1,"9.11","77.7",2.68,73.41,1.68,2.28851655087863,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-09",2023-12-04,"W","Cabbage Top",2,"79.93",1.01,"11.9","63.06",3.61,58.46,2.6,4.44748546014369,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-23",2023-12-04,"W","Cabbage Top",2,"155.8",1,"20.06","129.37",4.91,121.07,3.91,3.22953663170067,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-18",2023-12-04,"W","Cabbage Top",2,"313",1.02,"29.12","258.8",6.17,237.7,5.15,2.16659655027345,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2312-06",2023-12-04,"W","Cabbage Top",2,"128.14",0.96,"16.43","103.6",4.69,98.22,3.73,3.79759723070658,16.85,19.365,8.525,8.07,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-12-04"
"ABWC2311-15",2023-11-06,"W","Cabbage Top",2,"205.4",1.01,"21.81","157.96",4.67,139.61,3.66,2.62158871141036,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-13",2023-11-06,"W","Cabbage Top",2,"308.3",0.99,"27.43","251.7",5.05,231.5,4.06,1.75377969762419,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-20",2023-11-06,"W","Cabbage Top",2,"163.75",1,"15.15","137.05",4.32,125.44,3.32,2.64668367346939,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-01",2023-11-06,"W","Cabbage Top",2,"192.9",1.01,"24.6","152.67",4.22,139.61,3.21,2.29926223049925,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-07",2023-11-06,"W","Cabbage Top",2,"264.5",1.01,"39.55","192.26",5.36,172.01,4.35,2.52892273705017,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-18",2023-11-06,"W","Cabbage Top",2,"193.87",0.95,"15.13","161.6",4.28,147.21,3.33,2.26207458732423,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-10",2023-11-06,"W","Cabbage Top",2,"322.2",1.01,"24.8","271.6",5.83,254,4.82,1.89763779527559,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-08",2023-11-06,"W","Cabbage Top",2,"52.21",1.01,"6.39","43.93",2.23,40.94,1.22,2.9799706888129,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-23",2023-11-06,"W","Cabbage Top",2,"250",0.99,"17.51","214.4",4.14,191.98,3.15,1.64079591624128,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-09",2023-11-06,"W","Cabbage Top",2,"91.65",1.01,"12.78","73.07",3.07,70.01,2.06,2.94243679474361,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-24",2023-11-06,"W","Cabbage Top",2,"219.8",0.99,"16.54","182.52",4.41,167.19,3.42,2.04557688856989,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-02",2023-11-06,"W","Cabbage Top",2,"66.82",1.02,"9","53.71",2.46,49.28,1.44,2.92207792207792,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-21",2023-11-06,"W","Cabbage Top",2,"287.1",1.01,"23.49","231.11",5.05,208.52,4.04,1.93746403222712,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-19",2023-11-06,"W","Cabbage Top",2,"204.05",0.99,"17.94","170.45",3.98,160.95,2.99,1.85771978875427,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-11",2023-11-06,"W","Cabbage Top",2,"225.9",1.01,"26.04","184.41",5.31,166.19,4.3,2.58739996389674,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-03",2023-11-06,"W","Cabbage Top",2,"310.2",0.99,"33.41","261.3",6.66,241.1,5.67,2.35172127747822,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-16",2023-11-06,"W","Cabbage Top",2,"146.51",0.99,"18.81","114.55",4.23,106.75,3.24,3.03512880562061,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-22",2023-11-06,"W","Cabbage Top",2,"197.85",1.01,"15.7","171.39",4,156.49,2.99,1.91066521822481,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-14",2023-11-06,"W","Cabbage Top",2,"76.98",1,"7.77","65.37",2.74,61.61,1.74,2.8242168479143,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-04",2023-11-06,"W","Cabbage Top",2,"251.1",1,"20.85","211.91",4.24,190.41,3.24,1.70159130297779,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-17",2023-11-06,"W","Cabbage Top",2,"110.68",1.03,"11.19","93.78",3.12,87.96,2.09,2.37608003638017,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-05",2023-11-06,"W","Cabbage Top",2,"78.2",0.99,"10.3","65.05",3.13,62.42,2.14,3.42838833707145,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-12",2023-11-06,"W","Cabbage Top",2,"66.64",1,"9.84","51.2",2.96,48.54,1.96,4.03790688092295,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-06",2023-11-06,"W","Cabbage Top",2,"282.8",0.99,"27.92","239.6",5.73,224.4,4.74,2.11229946524064,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2311-25",2023-11-06,"W","Cabbage Top",2,"176.45",1,"13.38","150.36",3.19,134.84,2.19,1.62414713734797,18.5,23.005,8.565,8.09,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-11-06"
"ABWC2310-01",2023-10-06,"W","Cabbage Top",2,"143.56",1.02,"17","107.29",3.97,100.29,2.95,2.94146973776049,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-07",2023-10-06,"W","Cabbage Top",2,"232.9",2.27,"15.68","185.25",4.17,161.86,1.9,1.17385394785617,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-14",2023-10-06,"W","Cabbage Top",2,"268",2.27,"23.38","218.14",4.62,198.57,2.35,1.18346175152339,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-18",2023-10-06,"W","Cabbage Top",2,"187.34",1.01,"11.88","152.18",2.58,141.55,1.57,1.10914871070293,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-19",2023-10-06,"W","Cabbage Top",2,"51.04",1.03,"6.11","40.43",1.86,38.36,0.83,2.16371220020855,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-03",2023-10-06,"W","Cabbage Top",2,"138.8",1.02,"9.54","112.79",2.4,102.18,1.38,1.35055783910746,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-21",2023-10-06,"W","Cabbage Top",2,"71.84",1,"8.47","58.34",2.58,55.1,1.58,2.86751361161524,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-09",2023-10-06,"W","Cabbage Top",2,"84.7",1.02,"7.89","70.17",2.53,66.75,1.51,2.26217228464419,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-15",2023-10-06,"W","Cabbage Top",2,"125.37",0.99,"10.75","104.98",2.71,97.27,1.72,1.76827387683767,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-24",2023-10-06,"W","Cabbage Top",2,"153.52",1.01,"10.96","128.31",2.77,117.66,1.76,1.49583545809961,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-08",2023-10-06,"W","Cabbage Top",2,"192.83",1.02,"23.61","159.35",3.23,144.09,2.21,1.53376361995975,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-17",2023-10-06,"W","Cabbage Top",2,"62.92",1.01,"7.5","49.16",2.33,46.55,1.32,2.83566058002148,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-25",2023-10-06,"W","Cabbage Top",2,"147.58",1.01,"13.78","114.34",2.68,97.36,1.67,1.71528348397699,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-05",2023-10-06,"W","Cabbage Top",2,"214.3",2.2,"21.08","168.64",5.05,151.06,2.85,1.88666754931815,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-12",2023-10-06,"W","Cabbage Top",2,"249.3",2.25,"17.84","208.03",4.85,188.07,2.6,1.38246397617908,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-02",2023-10-06,"W","Cabbage Top",2,"88.1",1.03,"7.83","69.3",2.24,65.91,1.21,1.83583674707935,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-22",2023-10-06,"W","Cabbage Top",2,"201.84",1.02,"16.17","157.73",2.89,134.04,1.87,1.39510593852581,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-04",2023-10-06,"W","Cabbage Top",2,"98.39",1,"11.97","77.03",3.35,72.24,2.35,3.2530454042082,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-13",2023-10-06,"W","Cabbage Top",2,"89.33",0.95,"7.67","73.19",2.32,69.63,1.37,1.96754272583656,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-23",2023-10-06,"W","Cabbage Top",2,"169.53",1.02,"13.92","139.47",2.89,126.33,1.87,1.48025013852608,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-10",2023-10-06,"W","Cabbage Top",2,"273.4",2.33,"29.93","215.58",5.62,192.9,3.29,1.70554691550026,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-16",2023-10-06,"W","Cabbage Top",2,"236.5",2.23,"18.83","187.98",4.4,171.72,2.17,1.26368506871652,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-06",2023-10-06,"W","Cabbage Top",2,"88.81",1.03,"9.91","70.18",3.05,64.93,2.02,3.11104266132758,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-20",2023-10-06,"W","Cabbage Top",2,"183.79",1.02,"17.26","143.02",3.67,127.75,2.65,2.07436399217221,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2310-11",2023-10-06,"W","Cabbage Top",2,"51.97",0.96,"5.28","44.49",1.91,42.37,0.95,2.24215246636771,25.75,21.185,7.435,8.24,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-10-06"
"ABWC2309-18",2023-09-05,"W","Cabbage Top",2,"39.96",1.01,"6.27","29.95",1.92,28.14,0.91,3.23383084577114,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-24",2023-09-05,"W","Cabbage Top",2,"88.03",0.99,"9.49","71.63",2.68,68.55,1.69,2.4653537563822,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-11",2023-09-05,"W","Cabbage Top",2,"223.1",1.03,"11.63","206.48",2.85,192.33,1.82,0.946290230333281,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-03",2023-09-05,"W","Cabbage Top",2,"319.8",2.27,"23.07","251.1",5.08,215.34,2.81,1.30491316058326,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-05",2023-09-05,"W","Cabbage Top",2,"172.37",1.02,"8.8","151.86",2.35,136.64,1.33,0.973360655737705,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-16",2023-09-05,"W","Cabbage Top",2,"134.39",1.02,"12.12","108.69",2.61,100.39,1.59,1.5838230899492,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-14",2023-09-05,"W","Cabbage Top",2,"94.17",1.03,"8.78","77.3",2.56,73.6,1.53,2.07880434782609,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-02",2023-09-05,"W","Cabbage Top",2,"67.11",1.03,"6.01","54.91",1.96,52.48,0.93,1.77210365853659,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-17",2023-09-05,"W","Cabbage Top",2,"199.72",1.03,"18.22","154.72",3.2,141.37,2.17,1.53497913277216,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-19",2023-09-05,"W","Cabbage Top",2,"133.91",1,"16.15","107.98",2.53,98.45,1.53,1.55408836973083,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-25",2023-09-05,"W","Cabbage Top",2,"318.8",2.27,"22.06","263.1",4.33,240,2.06,0.858333333333333,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-22",2023-09-05,"W","Cabbage Top",2,"87.66",0.99,"9.22","73.31",2.64,68.38,1.65,2.41298625329044,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-20",2023-09-05,"W","Cabbage Top",2,"50.1",1,"4.22","43.8",1.58,42.56,0.58,1.36278195488722,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-04",2023-09-05,"W","Cabbage Top",2,"67.73",1.02,"8.02","52.82",2.45,51.12,1.43,2.79733959311424,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-10",2023-09-05,"W","Cabbage Top",2,"71.98",1.02,"6.92","58.81",2.05,55.14,1.03,1.86797243380486,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-07",2023-09-05,"W","Cabbage Top",2,"319.7",2.29,"20.39","259.3",4.69,231,2.4,1.03896103896104,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-23",2023-09-05,"W","Cabbage Top",2,"243.45",2.29,"19","198.16",4.17,180.31,1.88,1.04264877156009,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-09",2023-09-05,"W","Cabbage Top",2,"202.88",1.06,"12.15","163.5",2.73,148.14,1.67,1.12731200216012,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-12",2023-09-05,"W","Cabbage Top",2,"76.26",1.03,"7.17","64.67",2.36,61.21,1.33,2.17284757392583,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-15",2023-09-05,"W","Cabbage Top",2,"192.95",1.04,"17.41","154.05",3.42,143.19,2.38,1.66212724352259,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-08",2023-09-05,"W","Cabbage Top",2,"50.93",1.03,"5.2","41.05",1.73,39.37,0.7,1.77800355600711,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-06",2023-09-05,"W","Cabbage Top",2,"37.45",1.02,"4.24","31.64",1.62,29.73,0.6,2.01816347124117,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-13",2023-09-05,"W","Cabbage Top",2,"327.8",2.25,"26.13","264.8",5.84,241.9,3.59,1.48408433236875,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-01",2023-09-05,"W","Cabbage Top",2,"209.53",1,"18.81","165.86",3.76,155.28,2.76,1.7774343122102,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2309-21",2023-09-05,"W","Cabbage Top",2,"71.05",1,"7.88","61.17",2.36,58.91,1.36,2.30860634866746,28.4,15.9,8.505,8.415,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-09-05"
"ABWC2308-18",2023-08-01,"W","Cabbage Top",2,"128.37",0.98,"13.54","105.42",3.67,102.09,2.69,2.63492996375747,30.05,26.165,6.16,8.085,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-08-01"
"ABWC2308-04",2023-08-01,"W","Cabbage Top",2,"273.6",0.94,"22.2","228.6",3.75,214.59,2.81,1.30947388042313,30.05,26.165,6.16,8.085,"West Section",2023,"2023","West Section.2023","Post-closure","Post-closure.West Section","West Section.2023.2023-08-01"
