"OysterID","Date","Section","StationName","Station","ShellHeight","ShellLength","ShellWidth","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight"
"ABEC2312-19",2023-12-04,"E","Easthole",12,68.6,50.28,25.5,65.17,1,9.49,52.55,2.27,50.32
"ABEC2312-20",2023-12-04,"E","Easthole",12,83.38,49.74,21.68,57.48,0.99,8.86,44.15,2.11,41.19
"ABEC2312-16",2023-12-04,"E","Easthole",12,77.56,53.48,30.05,66.5,0.95,12.05,51.94,2.46,46.9
"ABEC2312-17",2023-12-04,"E","Easthole",12,70.76,53.47,36.51,88.13,1,11.31,76.21,2.59,73.72
"ABEC2312-03",2023-12-04,"E","Cat Point",11,109.77,59.48,45.51,160.39,1.02,18.06,134.06,4.1,118.93
"ABEC2312-11",2023-12-04,"E","Cat Point",11,64.92,51.57,31.55,78.46,1.01,6.89,66.59,2.29,60.46
"ABEC2312-04",2023-12-04,"E","Cat Point",11,63.66,51.68,24.47,58.46,1.02,8.9,45.94,2.62,43.02
"ABEC2312-07",2023-12-04,"E","Cat Point",11,93.29,67.71,43.42,198.21,1,19.33,165.48,3.69,150.29
"ABEC2312-01",2023-12-04,"E","Cat Point",11,92.56,68.48,42.66,159.95,1.01,15.93,138.45,3.96,126.9
"ABEC2312-08",2023-12-04,"E","Cat Point",11,74.48,67.78,32.36,122.19,1,10.94,100.62,2.65,96.67
"ABEC2312-02",2023-12-04,"E","Cat Point",11,79.94,61.56,35.39,135.19,1,15.02,108.57,3.81,101.26
"ABEC2312-12",2023-12-04,"E","Cat Point",11,74.1,52.06,36.42,88.26,0.98,11.21,73.63,2.7,66.37
"ABEC2312-05",2023-12-04,"E","Cat Point",11,81.13,68.7,42.04,181.04,1.02,20.08,145.39,4.72,135.86
"ABEC2312-06",2023-12-04,"E","Cat Point",11,75.13,57.02,34.95,90.44,0.99,10.88,74.41,3.08,70.72
"ABEC2312-10",2023-12-04,"E","Cat Point",11,76.25,61.88,39.99,118.22,1,11.66,104.97,2.81,96.75
"ABEC2312-13",2023-12-04,"E","Cat Point",11,103.15,58.73,38.88,161.36,0.99,17.11,127.86,3.81,115.95
"ABEC2312-09",2023-12-04,"E","Cat Point",11,79.64,57.11,54.34,173.88,1,15.64,146.64,3.16,131.12
"ABCC2312-24",2023-12-04,"C","East Lumps",10,74.46,44.38,25.33,55.51,0.95,7.51,42.15,1.77,37.55
"ABCC2312-19",2023-12-04,"C","East Lumps",10,94,50.44,29.27,95.45,1.02,16.19,75.51,2.82,67.77
"ABCC2312-25",2023-12-04,"C","East Lumps",10,93.82,66.32,39.62,184.6,0.96,17.17,154.25,3.56,136.87
"ABCC2312-18",2023-12-04,"C","East Lumps",10,76.74,44.48,34.3,55.78,1,12.01,42.5,2.72,37.72
"ABCC2312-23",2023-12-04,"C","East Lumps",10,91.8,52.73,31.83,100.6,0.98,17.28,75.28,3.07,68.71
"ABCC2312-21",2023-12-04,"C","East Lumps",10,69.67,52.17,31.77,87.07,1.03,8.34,69.91,1.91,66.84
"ABCC2312-22",2023-12-04,"C","East Lumps",10,60.79,53.17,23.67,53.64,0.98,6.63,43.94,1.82,41.62
"ABCC2312-20",2023-12-04,"C","East Lumps",10,56.31,47.72,21.55,42.76,0.99,7.03,33.92,1.94,31.79
"ABCC2312-14",2023-12-04,"C","Lighthouse",7,69.4,51.42,34.5,88.21,1,10.71,77.75,2.73,74.28
"ABCC2312-10",2023-12-04,"C","Lighthouse",7,75.07,55.76,35.72,107.89,0.99,11.89,90.05,3.37,88.02
"ABCC2312-16",2023-12-04,"C","Lighthouse",7,67.71,59.5,31.52,86.82,1.01,13.1,71.76,2.95,67.43
"ABCC2312-13",2023-12-04,"C","Lighthouse",7,75.51,60.78,31.86,93.05,0.99,12.42,80.86,3.24,78.64
"ABCC2312-12",2023-12-04,"C","Lighthouse",7,62.28,39.81,27.7,59.25,0.99,6.73,50.5,1.85,47.07
"ABCC2312-11",2023-12-04,"C","Lighthouse",7,61.55,62.26,30,77.43,1.02,9.57,64.84,2.31,62.72
"ABCC2312-17",2023-12-04,"C","Lighthouse",7,75.42,56.45,32.42,96.39,1.01,16.61,77.15,3.2,74.15
"ABCC2312-15",2023-12-04,"C","Lighthouse",7,60.81,49.1,32.01,78.87,0.95,8.87,69.1,2.53,66.3
"ABCC2312-08",2023-12-04,"C","Halfmoon",6,88.59,59.81,40.71,158.06,1.03,15.49,134.56,4.08,129.32
"ABCC2312-06",2023-12-04,"C","Halfmoon",6,60.32,47.48,36.54,74.76,0.99,6.4,67.19,2,65.24
"ABCC2312-09",2023-12-04,"C","Halfmoon",6,79.04,52.69,33.2,125.45,1.02,19.96,104.05,4.11,99.54
"ABCC2312-02",2023-12-04,"C","Halfmoon",6,91.04,63.35,39.8,165.37,1.02,18.46,136.31,4.19,128.59
"ABCC2312-03",2023-12-04,"C","Halfmoon",6,61.77,48.14,29.19,76.68,1.02,9.98,64.21,2.92,62.06
"ABCC2312-05",2023-12-04,"C","Halfmoon",6,90.77,70.34,27.65,102.95,1.02,15.82,81.48,3.2,77.8
"ABCC2312-04",2023-12-04,"C","Halfmoon",6,81.26,58.11,44.34,136.31,1.03,13.71,119.53,3.63,115.71
"ABCC2312-01",2023-12-04,"C","Halfmoon",6,75.04,54.29,32.93,81.46,1.02,10.93,65.78,2.88,63.85
"ABCC2312-07",2023-12-04,"C","Halfmoon",6,76.12,61.07,34.13,105.56,1,12.92,88.09,3.52,84.36
"ABWC2311-15",2023-11-06,"W","Cabbage Top",2,91.94,66.38,42.01,205.4,1.01,21.81,157.96,4.67,139.61
"ABWC2311-13",2023-11-06,"W","Cabbage Top",2,104.65,80.03,53.54,308.3,0.99,27.43,251.7,5.05,231.5
"ABWC2311-20",2023-11-06,"W","Cabbage Top",2,76.99,60.92,37.69,163.75,1,15.15,137.05,4.32,125.44
"ABWC2311-01",2023-11-06,"W","Cabbage Top",2,93.63,60,42.6,192.9,1.01,24.6,152.67,4.22,139.61
"ABWC2311-07",2023-11-06,"W","Cabbage Top",2,108.91,71.35,59.68,264.5,1.01,39.55,192.26,5.36,172.01
"ABWC2311-18",2023-11-06,"W","Cabbage Top",2,89.63,60.36,42.35,193.87,0.95,15.13,161.6,4.28,147.21
"ABWC2311-10",2023-11-06,"W","Cabbage Top",2,116.07,70.68,38.03,322.2,1.01,24.8,271.6,5.83,254
"ABWC2311-08",2023-11-06,"W","Cabbage Top",2,61.55,42.12,23.39,52.21,1.01,6.39,43.93,2.23,40.94
"ABWC2311-23",2023-11-06,"W","Cabbage Top",2,94.63,69.94,52.13,250,0.99,17.51,214.4,4.14,191.98
"ABWC2311-09",2023-11-06,"W","Cabbage Top",2,64.62,53.96,33.17,91.65,1.01,12.78,73.07,3.07,70.01
"ABWC2311-24",2023-11-06,"W","Cabbage Top",2,89.71,67.57,42.18,219.8,0.99,16.54,182.52,4.41,167.19
"ABWC2311-02",2023-11-06,"W","Cabbage Top",2,66.56,44.97,26.93,66.82,1.02,9,53.71,2.46,49.28
"ABWC2311-21",2023-11-06,"W","Cabbage Top",2,106.95,67.94,56.33,287.1,1.01,23.49,231.11,5.05,208.52
"ABWC2311-19",2023-11-06,"W","Cabbage Top",2,90.44,59.96,46.42,204.05,0.99,17.94,170.45,3.98,160.95
"ABWC2311-11",2023-11-06,"W","Cabbage Top",2,97.91,73.13,43.86,225.9,1.01,26.04,184.41,5.31,166.19
"ABWC2311-03",2023-11-06,"W","Cabbage Top",2,96.36,70.71,59.05,310.2,0.99,33.41,261.3,6.66,241.1
"ABWC2311-16",2023-11-06,"W","Cabbage Top",2,88.62,57.29,42.12,146.51,0.99,18.81,114.55,4.23,106.75
"ABWC2311-22",2023-11-06,"W","Cabbage Top",2,84.4,65.07,44.72,197.85,1.01,15.7,171.39,4,156.49
"ABWC2311-14",2023-11-06,"W","Cabbage Top",2,65.68,44.87,29.27,76.98,1,7.77,65.37,2.74,61.61
"ABWC2311-04",2023-11-06,"W","Cabbage Top",2,96.77,68.95,47.03,251.1,1,20.85,211.91,4.24,190.41
"ABWC2311-17",2023-11-06,"W","Cabbage Top",2,68.16,54.67,37.28,110.68,1.03,11.19,93.78,3.12,87.96
"ABWC2311-05",2023-11-06,"W","Cabbage Top",2,68.59,50.31,26.19,78.2,0.99,10.3,65.05,3.13,62.42
"ABWC2311-12",2023-11-06,"W","Cabbage Top",2,62.38,46.65,26.43,66.64,1,9.84,51.2,2.96,48.54
"ABWC2311-06",2023-11-06,"W","Cabbage Top",2,96.49,70.04,49.58,282.8,0.99,27.92,239.6,5.73,224.4
"ABWC2311-25",2023-11-06,"W","Cabbage Top",2,78.57,66.39,42.14,176.45,1,13.38,150.36,3.19,134.84
"ABEC2311-15",2023-11-06,"E","Easthole",12,104.49,68.22,37.41,211.4,1.02,21.27,166.59,4.39,141.64
"ABEC2311-14",2023-11-06,"E","Easthole",12,66.02,50.69,21.68,78.02,1.01,13.65,57.65,2.75,51.35
"ABEC2311-19",2023-11-06,"E","Easthole",12,66.29,45.46,32.34,100.47,1.02,10.34,77.09,2.65,69.46
"ABEC2311-13",2023-11-06,"E","Easthole",12,90.31,67.52,32.78,186.02,0.99,13.94,163,3.36,147.36
"ABEC2311-22",2023-11-06,"E","Easthole",12,96.59,71.39,34.47,169.68,1.01,20.86,138.51,3.92,123.37
"ABEC2311-21",2023-11-06,"E","Easthole",12,56.79,43.41,20.11,42.73,1,6.7,31.07,1.93,27.55
"ABEC2311-17",2023-11-06,"E","Easthole",12,71.32,38.97,29.04,95.53,1,11.62,75.5,2.76,72.83
"ABEC2311-24",2023-11-06,"E","Easthole",12,74.94,48.84,27.89,74.84,1.02,11.03,57.48,2.47,53.8
"ABEC2311-18",2023-11-06,"E","Easthole",12,75.65,54.98,27.61,107.1,1,8.35,88.23,1.98,81.64
"ABEC2311-23",2023-11-06,"E","Easthole",12,53.06,43.01,25.3,45.75,1.03,5.18,36.31,1.85,34.26
"ABEC2311-16",2023-11-06,"E","Easthole",12,81.03,35,22.57,66.36,1.01,10.33,49.41,2.57,45.39
"ABEC2311-25",2023-11-06,"E","Easthole",12,51.69,45.44,23.76,45.59,1.01,8.3,33.2,2.39,31.04
"ABEC2311-20",2023-11-06,"E","Easthole",12,75.36,51.24,20.24,65.13,1.02,10.52,47.26,2.77,43.27
"ABEC2311-05",2023-11-06,"E","Cat Point",11,70.12,49.94,21.91,65.55,1.02,10.47,48.27,2.77,45.24
"ABEC2311-06",2023-11-06,"E","Cat Point",11,85.62,63.53,37.78,169.31,1.02,14.71,137.4,3.59,128.28
"ABEC2311-03",2023-11-06,"E","Cat Point",11,79.15,64.4,34.26,158.24,1.01,13.13,129.76,3.34,118.55
"ABEC2311-09",2023-11-06,"E","Cat Point",11,64.43,43.68,24.66,64.6,1.03,5.66,53.82,1.96,51.19
"ABEC2311-11",2023-11-06,"E","Cat Point",11,73.14,50.44,31.26,114.81,1.04,12.41,94.33,3.25,90.9
"ABEC2311-01",2023-11-06,"E","Cat Point",11,88.69,75.74,35.63,191.7,1,13.44,164.5,2.8,152.2
"ABEC2311-04",2023-11-06,"E","Cat Point",11,74.55,57.54,32.63,141.9,1.02,12.76,117.04,3.31,110.91
"ABEC2311-12",2023-11-06,"E","Cat Point",11,74.64,43.72,27.9,69.35,0.99,10.52,50.17,3.16,44.74
"ABEC2311-10",2023-11-06,"E","Cat Point",11,92.52,68.4,41.33,218.96,1.04,24.61,172.18,4.81,158.04
"ABEC2311-07",2023-11-06,"E","Cat Point",11,74.58,55.03,27.25,94.35,1.03,10.09,76.75,2.71,70.72
"ABEC2311-08",2023-11-06,"E","Cat Point",11,70.67,53.33,28.4,96.81,1.03,9.48,80.12,2.75,74.87
"ABEC2311-02",2023-11-06,"E","Cat Point",11,84.01,54.34,33.08,185.25,1,15.35,156.11,3.72,146.9
"ABCC2311-18",2023-11-06,"C","East Lumps",10,61.25,45.25,28.74,56.73,0.99,6.81,47.35,2.09,45.23
"ABCC2311-20",2023-11-06,"C","East Lumps",10,68.29,51.55,34.48,86.67,1,9.06,73.71,2.47,69.67
"ABCC2311-23",2023-11-06,"C","East Lumps",10,70.24,51.5,31.71,70.86,1.01,6.47,60.36,1.89,55.51
"ABCC2311-22",2023-11-06,"C","East Lumps",10,74.9,52.89,34.12,93.13,1.01,11.33,78.45,2.72,74.5
"ABCC2311-19",2023-11-06,"C","East Lumps",10,67.1,52.48,35.02,84.67,1.01,8.31,72.23,2.33,67.97
"ABCC2311-25",2023-11-06,"C","East Lumps",10,68.88,47.82,27.81,53.06,0.98,9.32,37.88,2.66,35.68
"ABCC2311-24",2023-11-06,"C","East Lumps",10,58.07,43.79,26.06,47.85,0.98,5.35,40.16,1.85,39.16
"ABCC2311-21",2023-11-06,"C","East Lumps",10,82.19,61.7,35.69,131.15,1.01,10.14,111.76,2.57,106.51
"ABCC2311-16",2023-11-06,"C","Lighthouse",7,64.81,47.86,28.66,76.67,0.99,8.06,64.16,2.41,61.44
"ABCC2311-17",2023-11-06,"C","Lighthouse",7,67.56,52.08,31.94,80.14,1.02,10.94,64.98,2.87,60.99
"ABCC2311-14",2023-11-06,"C","Lighthouse",7,80.23,39.43,29.22,50.31,1.01,9.14,38.19,2.35,35.2
"ABCC2311-09",2023-11-06,"C","Lighthouse",7,74.64,56.76,34.48,111.15,1.02,17.14,91.42,3.73,87.11
"ABCC2311-13",2023-11-06,"C","Lighthouse",7,78.95,63.98,35.84,146.46,1,16.9,118.34,3.44,111.72
"ABCC2311-15",2023-11-06,"C","Lighthouse",7,67.59,50.46,37.44,83.65,1,8.81,67.89,2.67,65.88
"ABCC2311-10",2023-11-06,"C","Lighthouse",7,68.52,49.84,29.8,87.9,1.01,9.75,76.15,2.59,72.83
"ABCC2311-12",2023-11-06,"C","Lighthouse",7,69.45,49.94,23.7,58.54,1.01,10.84,44.09,2.93,40.85
"ABCC2311-11",2023-11-06,"C","Lighthouse",7,69.34,54.58,31.37,87.83,1.01,8.15,73.62,2.7,68.39
"ABCC2311-02",2023-11-06,"C","Halfmoon",6,94,68.07,39.25,190.85,0.98,19.79,158.91,3.91,153.8
"ABCC2311-07",2023-11-06,"C","Halfmoon",6,67.34,49.63,29.6,55.94,1.01,9.02,40.91,2.55,38.9
"ABCC2311-08",2023-11-06,"C","Halfmoon",6,86.65,57.38,33.02,105.39,1.03,15.91,82.68,2.91,79.5
"ABCC2311-03",2023-11-06,"C","Halfmoon",6,71.18,51.34,33.33,92.25,0.98,10.74,78.92,2.32,77.24
"ABCC2311-05",2023-11-06,"C","Halfmoon",6,88.87,74.54,30.75,156.12,1.01,17.41,128.24,2.67,123.28
"ABCC2311-06",2023-11-06,"C","Halfmoon",6,80.42,57.61,33.83,136.92,1.01,14.63,117.3,2.84,113.74
"ABCC2311-04",2023-11-06,"C","Halfmoon",6,76.29,44.24,57.92,144.42,1.02,13.66,120.38,3.32,116.68
"ABCC2311-01",2023-11-06,"C","Halfmoon",6,75.15,54.26,32.77,106.35,1.01,11.32,88.71,2.97,85.08
"ABWC2310-01",2023-10-06,"W","Cabbage Top",2,83.01,64.9,38.79,143.56,1.02,17,107.29,3.97,100.29
"ABWC2310-07",2023-10-06,"W","Cabbage Top",2,93.27,70.83,44.93,232.9,2.27,15.68,185.25,4.17,161.86
"ABWC2310-14",2023-10-06,"W","Cabbage Top",2,105.1,70.46,49.93,268,2.27,23.38,218.14,4.62,198.57
"ABWC2310-18",2023-10-06,"W","Cabbage Top",2,98.74,59.73,43.96,187.34,1.01,11.88,152.18,2.58,141.55
"ABWC2310-19",2023-10-06,"W","Cabbage Top",2,57.31,42.24,23.13,51.04,1.03,6.11,40.43,1.86,38.36
"ABWC2310-03",2023-10-06,"W","Cabbage Top",2,75.7,63.18,41.74,138.8,1.02,9.54,112.79,2.4,102.18
"ABWC2310-21",2023-10-06,"W","Cabbage Top",2,64.08,46.81,35.97,71.84,1,8.47,58.34,2.58,55.1
"ABWC2310-09",2023-10-06,"W","Cabbage Top",2,71.66,54.35,31.76,84.7,1.02,7.89,70.17,2.53,66.75
"ABWC2310-15",2023-10-06,"W","Cabbage Top",2,67.77,58.42,35.6,125.37,0.99,10.75,104.98,2.71,97.27
"ABWC2310-24",2023-10-06,"W","Cabbage Top",2,84.44,54.78,41.45,153.52,1.01,10.96,128.31,2.77,117.66
"ABWC2310-08",2023-10-06,"W","Cabbage Top",2,84.32,75.58,52.35,192.83,1.02,23.61,159.35,3.23,144.09
"ABWC2310-17",2023-10-06,"W","Cabbage Top",2,63.53,46.5,27.62,62.92,1.01,7.5,49.16,2.33,46.55
"ABWC2310-25",2023-10-06,"W","Cabbage Top",2,79.19,59.39,38.24,147.58,1.01,13.78,114.34,2.68,97.36
"ABWC2310-05",2023-10-06,"W","Cabbage Top",2,88.62,66.31,43.61,214.3,2.2,21.08,168.64,5.05,151.06
"ABWC2310-12",2023-10-06,"W","Cabbage Top",2,96.37,63.83,43.66,249.3,2.25,17.84,208.03,4.85,188.07
"ABWC2310-02",2023-10-06,"W","Cabbage Top",2,68.25,50.69,29.52,88.1,1.03,7.83,69.3,2.24,65.91
"ABWC2310-22",2023-10-06,"W","Cabbage Top",2,92.59,64.36,48.88,201.84,1.02,16.17,157.73,2.89,134.04
"ABWC2310-04",2023-10-06,"W","Cabbage Top",2,72.82,57.99,30.53,98.39,1,11.97,77.03,3.35,72.24
"ABWC2310-13",2023-10-06,"W","Cabbage Top",2,65.87,48.99,29.9,89.33,0.95,7.67,73.19,2.32,69.63
"ABWC2310-23",2023-10-06,"W","Cabbage Top",2,82.57,63.28,47.7,169.53,1.02,13.92,139.47,2.89,126.33
"ABWC2310-10",2023-10-06,"W","Cabbage Top",2,99,70.57,48.52,273.4,2.33,29.93,215.58,5.62,192.9
"ABWC2310-16",2023-10-06,"W","Cabbage Top",2,86.38,76.32,47.29,236.5,2.23,18.83,187.98,4.4,171.72
"ABWC2310-06",2023-10-06,"W","Cabbage Top",2,64.74,62.59,32.89,88.81,1.03,9.91,70.18,3.05,64.93
"ABWC2310-20",2023-10-06,"W","Cabbage Top",2,87.77,61.47,48.52,183.79,1.02,17.26,143.02,3.67,127.75
"ABWC2310-11",2023-10-06,"W","Cabbage Top",2,54.77,43.59,26.66,51.97,0.96,5.28,44.49,1.91,42.37
"ABEC2310-17",2023-10-06,"E","Easthole",12,86.82,54.78,42.56,136.78,1.05,12.6,105.66,2.7,94.96
"ABEC2310-18",2023-10-06,"E","Easthole",12,82,44.3,22.09,69.8,1.05,11.33,50.28,2.67,45.89
"ABEC2310-24",2023-10-06,"E","Easthole",12,92.26,74.47,45.65,167.61,1.02,14.45,134.77,3.09,122.73
"ABEC2310-19",2023-10-06,"E","Easthole",12,65.31,41.62,21.49,48.1,1.03,5.89,38.02,1.97,35.31
"ABEC2310-14",2023-10-06,"E","Easthole",12,90.92,46.12,30.38,75.51,1.04,9,55.3,2.24,50.91
"ABEC2310-23",2023-10-06,"E","Easthole",12,61.1,47.69,22.41,51.49,0.99,7.3,38.25,1.82,35.63
"ABEC2310-22",2023-10-06,"E","Easthole",12,66.21,52.86,26.77,53.61,1.01,7.27,40.17,2.22,38.5
"ABEC2310-21",2023-10-06,"E","Easthole",12,64,42.37,23.8,43.51,1.02,7.32,30.47,2.17,28.67
"ABEC2310-15",2023-10-06,"E","Easthole",12,60.02,50.89,26.06,63.29,1.04,7.84,50.21,2.2,46.5
"ABEC2310-20",2023-10-06,"E","Easthole",12,70.53,47.31,29.53,83.71,1.03,8.54,68.78,2.31,64.92
"ABEC2310-16",2023-10-06,"E","Easthole",12,61.11,42.63,26.04,55.97,1.03,9.23,40.47,2.23,36.66
"ABEC2310-25",2023-10-06,"E","Easthole",12,65.64,52.9,25.9,56.11,1.02,9.13,44.19,2.53,40.47
"ABEC2310-05",2023-10-06,"E","Cat Point",11,79.38,48.79,36.6,102.04,1.05,8.92,79.53,2.33,73.14
"ABEC2310-03",2023-10-06,"E","Cat Point",11,72.38,61.49,37.67,107.85,1.02,9.66,91.83,2.43,83.77
"ABEC2310-10",2023-10-06,"E","Cat Point",11,80.67,61.36,31.36,116.04,1,13.14,87.67,2.78,80.06
"ABEC2310-04",2023-10-06,"E","Cat Point",11,64,40,23.55,40.29,1.03,6.21,32.74,2.08,30.13
"ABEC2310-02",2023-10-06,"E","Cat Point",11,80.67,45.92,31.89,97.79,1.01,11.57,77.97,2.53,72.44
"ABEC2310-11",2023-10-06,"E","Cat Point",11,68.56,45.65,35.99,89.19,1.01,8.59,74.03,2.36,69.95
"ABEC2310-08",2023-10-06,"E","Cat Point",11,74.3,49.51,39.21,111.11,1.05,12.45,90.24,3.11,84.76
"ABEC2310-12",2023-10-06,"E","Cat Point",11,78.37,53.83,31.34,88.7,1,9.52,77,2.52,74.05
"ABEC2310-07",2023-10-06,"E","Cat Point",11,100.36,56.81,45.46,180.79,0.96,11.74,140.35,2.33,124.65
"ABEC2310-13",2023-10-06,"E","Cat Point",11,64.4,41.36,28.26,53.93,1.03,6.2,44.32,1.92,42.38
"ABEC2310-01",2023-10-06,"E","Cat Point",11,81.27,58.21,43.99,135.67,1.02,10.63,112.99,2.9,102.32
"ABEC2310-06",2023-10-06,"E","Cat Point",11,69.61,60.12,31.14,101.57,0.97,7.93,82.35,2.13,76.37
"ABEC2310-09",2023-10-06,"E","Cat Point",11,71.5,48.15,29.69,82.15,1.05,11.82,65.72,2.84,61.9
"ABCC2310-23",2023-10-06,"C","East Lumps",10,65.75,51.67,29.89,59.65,1,7.25,51.54,2.21,49.85
"ABCC2310-21",2023-10-06,"C","East Lumps",10,68.76,54.42,29.46,68.91,1,8.57,59.4,2.04,57.84
"ABCC2310-19",2023-10-06,"C","East Lumps",10,87.92,71.65,46.9,185.91,1.01,19.76,150.18,3.16,144.54
"ABCC2310-20",2023-10-06,"C","East Lumps",10,62.39,49.5,20.83,38.58,1.01,5.65,31.25,1.9,30.11
"ABCC2310-18",2023-10-06,"C","East Lumps",10,73.96,59.35,31.34,81.71,1.01,8.99,72.98,2.69,69.37
"ABCC2310-25",2023-10-06,"C","East Lumps",10,70.55,60.55,30.01,63.71,1.01,11.26,52.89,3.23,50.08
"ABCC2310-22",2023-10-06,"C","East Lumps",10,75.94,54.48,32.39,87.93,1.01,15.25,67.78,2.68,65.63
"ABCC2310-24",2023-10-06,"C","East Lumps",10,77.05,53.29,33.64,82.24,0.99,10.54,67.48,2.4,65.88
"ABCC2310-12",2023-10-06,"C","Lighthouse",7,103.35,46.06,31.53,83.39,1,9.57,72.28,2.67,65.99
"ABCC2310-15",2023-10-06,"C","Lighthouse",7,82.72,46.86,37.72,90.47,1.03,9.66,72.98,2.48,69.74
"ABCC2310-09",2023-10-06,"C","Lighthouse",7,143.72,76.88,38.83,207.86,0.99,24.4,153.77,3.14,136.23
"ABCC2310-14",2023-10-06,"C","Lighthouse",7,59.58,39.92,23.27,34.3,0.97,5.55,25.58,1.79,23.89
"ABCC2310-11",2023-10-06,"C","Lighthouse",7,75.93,51.62,23.84,54.08,1,7.18,44.55,2.03,40.1
"ABCC2310-10",2023-10-06,"C","Lighthouse",7,95.79,60.41,37.23,152.69,1,13.05,122.08,3.05,116.69
"ABCC2310-16",2023-10-06,"C","Lighthouse",7,76.62,58.4,24.49,61.73,1.01,7.29,50.15,2.11,45.2
